"","country","countrycode","year","democracy","polity","gdppc","enrol_gross","primcomp","primcomp_male","primcomp_fem","enrol_net","agri","slums","telephone","internet","tax","pop","pop_fem","electricity","mobile","services","oil","natural","literacy","lit_male","lit_fem","infant","hospital","tuberculosis","life","unemploy","urban","un_continent_name","un_region_name"
"1","Albania","ALB",1960,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,6845,NA,NA,1608800,48.79712294,NA,0,NA,NA,NA,NA,NA,NA,NA,5.102675915,NA,54.439,NA,30.705,"Europe","Southern Europe"
"2","Albania","ALB",1961,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,6845,NA,NA,1659800,48.76944444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.634,NA,30.943,"Europe","Southern Europe"
"3","Albania","ALB",1962,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,6845,NA,NA,1711319,48.734351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.671,NA,31.015,"Europe","Southern Europe"
"4","Albania","ALB",1963,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,6845,NA,NA,1762621,48.69136399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.844,NA,31.086,"Europe","Southern Europe"
"5","Albania","ALB",1964,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,6845,NA,NA,1814135,48.6429285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.983,NA,31.158,"Europe","Southern Europe"
"6","Albania","ALB",1965,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,13991,NA,NA,1864791,48.59271297,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.019,NA,31.23,"Europe","Southern Europe"
"7","Albania","ALB",1966,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,13991,NA,NA,1914573,48.54248996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.998,NA,31.302,"Europe","Southern Europe"
"8","Albania","ALB",1967,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,13991,NA,NA,1965598,48.49170646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.972,NA,31.374,"Europe","Southern Europe"
"9","Albania","ALB",1968,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,13991,NA,NA,2022272,48.4408777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.946,NA,31.446,"Europe","Southern Europe"
"10","Albania","ALB",1969,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,13991,NA,NA,2081695,48.39023294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.923,NA,31.548,"Europe","Southern Europe"
"11","Albania","ALB",1970,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,173000,NA,NA,2135479,48.34051768,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.824,NA,31.74,"Europe","Southern Europe"
"12","Albania","ALB",1971,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,173000,NA,NA,2187853,48.29312933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.618,NA,31.933,"Europe","Southern Europe"
"13","Albania","ALB",1972,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,173000,NA,NA,2243126,48.2494702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.422,NA,32.127,"Europe","Southern Europe"
"14","Albania","ALB",1973,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,173000,NA,NA,2296752,48.20919873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.14,NA,32.321,"Europe","Southern Europe"
"15","Albania","ALB",1974,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,173000,NA,NA,2350124,48.17424574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.769,NA,32.516,"Europe","Southern Europe"
"16","Albania","ALB",1975,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,21660,NA,NA,2404831,48.14816073,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.328,NA,32.712,"Europe","Southern Europe"
"17","Albania","ALB",1976,0,-9,NA,107.7332993,NA,NA,NA,NA,NA,NA,22500,NA,NA,2458526,48.13156886,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.704,NA,32.908,"Europe","Southern Europe"
"18","Albania","ALB",1977,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,23800,NA,NA,2513546,48.12204145,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.121,NA,33.105,"Europe","Southern Europe"
"19","Albania","ALB",1978,0,-9,NA,102.6750488,NA,NA,NA,NA,NA,NA,24700,NA,NA,2566266,48.12142248,NA,0,NA,NA,NA,NA,NA,NA,76.7,NA,NA,69.309,NA,33.302,"Europe","Southern Europe"
"20","Albania","ALB",1979,0,-9,NA,100.6893387,NA,NA,NA,NA,NA,NA,26000,NA,NA,2617832,48.13042815,NA,0,NA,NA,NA,NA,NA,NA,71.2,NA,NA,69.584,NA,33.5,"Europe","Southern Europe"
"21","Albania","ALB",1980,0,-9,NA,97.44467926,NA,NA,NA,NA,NA,NA,27300,NA,NA,2671997,48.14955955,NA,0,NA,NA,NA,NA,NA,NA,66,4.271699905,NA,70.478,NA,33.762,"Europe","Southern Europe"
"22","Albania","ALB",1981,0,-9,NA,95.98697662,NA,NA,NA,NA,NA,NA,29000,NA,NA,2726056,48.1825391,NA,0,NA,NA,NA,NA,NA,NA,61.2,4.187099934,NA,70.73,NA,34.024,"Europe","Southern Europe"
"23","Albania","ALB",1982,0,-9,NA,95.40448761,NA,NA,NA,NA,NA,NA,30000,NA,NA,2784278,48.23099857,NA,0,NA,NA,NA,NA,NA,NA,57,4.160699844,NA,71.023,NA,34.287,"Europe","Southern Europe"
"24","Albania","ALB",1983,0,-9,NA,95.22859192,NA,NA,NA,NA,NA,NA,31000,NA,NA,2843960,48.29426755,NA,0,NA,NA,NA,NA,NA,NA,53.1,4.086200237,NA,71.296,NA,34.552,"Europe","Southern Europe"
"25","Albania","ALB",1984,0,-9,639.4847302,96.8741684,NA,NA,NA,NA,NA,NA,32000,NA,NA,2904429,48.37192015,NA,0,NA,5.799113572,8.862727738,NA,NA,NA,49.5,4.138999939,NA,71.502,NA,34.817,"Europe","Southern Europe"
"26","Albania","ALB",1985,0,-9,639.8659038,98.00637054,NA,NA,NA,NA,NA,NA,33275,NA,NA,2964762,48.46397465,NA,0,NA,5.357207137,8.712814068,NA,NA,NA,46.3,4.138800144,NA,71.656,NA,35.083,"Europe","Southern Europe"
"27","Albania","ALB",1986,0,-9,693.8734746,99.20932007,NA,NA,NA,NA,NA,NA,35000,NA,NA,3022635,48.56837644,NA,0,NA,1.949870762,4.697096816,NA,NA,NA,43.5,4.069699764,NA,71.95,NA,35.35,"Europe","Southern Europe"
"28","Albania","ALB",1987,0,-9,674.7933831,98.83931732,NA,NA,NA,NA,NA,NA,36000,NA,NA,3083605,48.68402521,NA,0,NA,3.104080289,5.69948776,NA,NA,NA,41,3.970000029,NA,72.352,NA,35.619,"Europe","Southern Europe"
"29","Albania","ALB",1988,0,-9,652.7743214,98.41758728,NA,NA,NA,NA,NA,NA,37000,NA,NA,3142336,48.8122809,NA,0,NA,2.378539262,8.223122577,NA,NA,NA,38.8,3.935499907,NA,72.641,NA,35.888,"Europe","Southern Europe"
"30","Albania","ALB",1989,0,-9,697.9955966,99.12294769,NA,NA,NA,NA,NA,NA,38550,NA,NA,3227943,48.95459789,NA,0,NA,3.345587891,8.847487681,NA,NA,NA,36.9,4.132100105,NA,72.88,NA,36.158,"Europe","Southern Europe"
"31","Albania","ALB",1990,0,1,617.2304355,99.37259674,NA,NA,NA,NA,NA,NA,40000,0,NA,3286542,49.10866732,100,0,NA,4.845877394,8.224029899,NA,NA,NA,35.4,4.02489996,NA,73.144,NA,36.428,"Europe","Southern Europe"
"32","Albania","ALB",1991,0,3,336.5869945,100.6457138,NA,NA,NA,NA,NA,NA,41500,0,NA,3266790,49.26935469,100,0,NA,3.617481466,9.885753643,NA,NA,NA,34,3.998699904,NA,73.378,10.307,36.7,"Europe","Southern Europe"
"33","Albania","ALB",1992,1,5,200.8522198,99.0358963,NA,NA,NA,NA,NA,NA,44848,0,NA,3247039,49.4345649,100,0,NA,4.678143305,11.72883877,NA,NA,NA,32.8,4.013400078,NA,73.715,30.015,37.249,"Europe","Southern Europe"
"34","Albania","ALB",1993,1,5,367.2792251,98.06433105,NA,NA,NA,NA,NA,NA,43000,0,NA,3227287,49.60128288,100,0,NA,2.649238263,3.378501797,NA,NA,NA,31.7,3.831399918,NA,73.939,25.258,37.799,"Europe","Southern Europe"
"35","Albania","ALB",1994,1,5,586.4161351,101.122879,NA,NA,NA,NA,NA,NA,41500,0,NA,3207536,49.76331201,100,0,NA,1.522284881,1.83861311,NA,NA,NA,30.6,3.017100096,NA,74.131,20.84,38.354,"Europe","Southern Europe"
"36","Albania","ALB",1995,1,5,750.6044492,104.1047592,NA,NA,NA,NA,NA,NA,42150,0.011168695,13.6007883,3187784,49.91718336,100,0,NA,1.159516028,1.411994517,NA,NA,NA,29.6,3.190000057,NA,74.362,14.611,38.911,"Europe","Southern Europe"
"37","Albania","ALB",1996,0,0,1009.977111,107.0152435,90.53278351,90.48729706,90.58026123,NA,36.41086377,NA,63850,0.032196828,8.861718692,3168033,50.05827903,100,2300,39.77251996,1.160702594,1.361529489,NA,NA,NA,28.6,3.140000105,NA,74.592,13.931,39.473,"Europe","Southern Europe"
"38","Albania","ALB",1997,1,5,717.3800477,109.209137,NA,NA,NA,NA,31.54344388,NA,86800,0.048593919,9.904836957,3148281,50.18638672,100,3300,42.31598073,1.088356446,1.31616086,NA,NA,NA,27.5,3.049999952,NA,73.904,16.876,40.035,"Europe","Southern Europe"
"39","Albania","ALB",1998,1,5,813.7893966,109.6497498,NA,NA,NA,NA,28.78565044,NA,115675,0.06502737,14.5689441,3128530,50.29300703,100,5600,43.99425228,0.23349463,0.373020814,NA,NA,NA,26.4,3.049999952,NA,74.99,20.047,40.601,"Europe","Southern Europe"
"40","Albania","ALB",1999,1,5,1033.242532,109.3973007,NA,NA,NA,96.79354,25.91874552,NA,140392,0.081437045,NA,3108778,50.37113576,100,11008,46.83404194,0.494725404,0.582819936,NA,NA,NA,25.2,3.029999971,NA,75.183,20.84,41.169,"Europe","Southern Europe"
"41","Albania","ALB",2000,1,5,1126.68334,109.1253433,99.16690826,99.17700958,99.15641022,95.38335,24.51541204,28.1,152687,0.114097347,NA,3089027,50.42169741,99.4308548,29791,44.3029615,1.071500565,1.205806641,NA,NA,NA,24.1,3.26,22,75.404,19.028,41.741,"Europe","Southern Europe"
"42","Albania","ALB",2001,1,5,1281.659826,108.7552872,100.9913101,101.7156982,100.2432938,93.86551,22.7161642,NA,197496,0.325798377,NA,3060173,50.43940092,99.42198944,392650,44.94302058,0.699922138,0.774294478,98.71298218,99.18760681,98.25227356,22.9,3.26,20,75.639,18.575,42.435,"Europe","Southern Europe"
"43","Albania","ALB",2002,1,7,1425.124219,107.7091217,NA,NA,NA,NA,22.02511409,25.5,220000,0.390081273,16.48424227,3051010,50.42558934,99.40457916,851000,43.77651541,0.687177627,0.765808882,NA,NA,NA,21.7,3.14,22,75.89,17.895,43.501,"Europe","Southern Europe"
"44","Albania","ALB",2003,1,7,1846.120121,107.2691116,100.4881821,102.1007919,98.82829285,91.69871,21.97825708,NA,255000,0.971900415,17.19613774,3039616,50.38569462,99.38562775,1100000,41.91147612,0.692722775,0.765831615,NA,NA,NA,20.4,3.07,20,76.142,16.989,44.573,"Europe","Southern Europe"
"45","Albania","ALB",2004,1,7,2373.581292,106.6347733,98.9352417,100.5444412,97.27410126,90.92345,20.53748631,23,274557,2.420387798,17.96507586,3026939,50.32782368,99.37213898,1259590,42.58041689,0.793153163,0.868821576,NA,NA,NA,19.1,3.01,20,76.376,16.31,45.651,"Europe","Southern Europe"
"46","Albania","ALB",2005,1,9,2673.787816,111.322403,NA,NA,NA,NA,18.84530872,NA,278973,6.043890864,NA,3011487,50.26016987,99.37112427,1530244,43.55447838,1.020953746,1.101150557,NA,NA,NA,17.8,3.08,19,76.621,15.97,46.731,"Europe","Southern Europe"
"47","Albania","ALB",2006,1,9,2972.743621,109.8948975,NA,NA,NA,NA,17.70835362,20.5,256000,9.609991316,NA,2992547,50.18860373,99.38936615,1909885,43.5234063,1.192449217,1.378902395,NA,NA,NA,16.5,3.12,18,76.816,15.63,47.815,"Europe","Southern Europe"
"48","Albania","ALB",2007,1,9,3595.038295,109.8934097,106.8818893,106.8430099,106.9230499,NA,17.15361957,NA,3e+05,15.03611541,NA,2970017,50.11404248,99.42845154,2322436,44.63982401,1.249434028,2.174050081,NA,NA,NA,15.3,3.09,17,77.549,15.97,48.902,"Europe","Southern Europe"
