"","countrycode","country","year","polity5","democracy","gdppc","enrol_gross","primcomp","primcom_male","primcom_fem","enrol_net","agri","slums","telephone","internet","tax","pop","pop_fem","electricity","service","oil","natural","literacy","lit_male","lit_fem","infant","health_ex","hospital","tuberculosis","life","life_male","life_female","unemploy","urban","attend","prenatal","military","un_continent_name","un_region_name"
"1","ARG","ARGENTINA",1950,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","South America"
"2","ARG","ARGENTINA",1951,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","South America"
"3","ARG","ARGENTINA",1952,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","South America"
"4","ARG","ARGENTINA",1953,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","South America"
"5","ARG","ARGENTINA",1954,-9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","South America"
"6","ARG","ARGENTINA",1955,-6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","South America"
"7","ARG","ARGENTINA",1956,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","South America"
"8","ARG","ARGENTINA",1957,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","South America"
"9","ARG","ARGENTINA",1958,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","South America"
"10","ARG","ARGENTINA",1959,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Americas","South America"
"11","ARG","ARGENTINA",1960,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9141839429865,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.35225057601929,NA,63.978,60.916,67.617,NA,NA,NA,NA,1.55,"Americas","South America"
"12","ARG","ARGENTINA",1961,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9721705915718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.36,61.24,68.031,NA,NA,NA,NA,2.14,"Americas","South America"
"13","ARG","ARGENTINA",1962,5,0,1160.30659798113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.0160303424296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.244,61.035,68.031,NA,NA,NA,NA,2.66,"Americas","South America"
"14","ARG","ARGENTINA",1963,6,1,852.972425139433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.0597501459384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.449,61.178,68.285,NA,NA,NA,NA,1.68,"Americas","South America"
"15","ARG","ARGENTINA",1964,6,1,1176.20086190313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.1034844511948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.363,61.037,68.261,NA,NA,NA,NA,1.15,"Americas","South America"
"16","ARG","ARGENTINA",1965,6,1,1281.83337976859,NA,NA,NA,NA,NA,12.9041629886915,NA,NA,NA,NA,NA,50.1463326614699,NA,38.6813582857261,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.593,61.235,68.493,NA,NA,NA,NA,1.07,"Americas","South America"
"17","ARG","ARGENTINA",1966,-9,0,1275.07843418966,NA,NA,NA,NA,NA,10.2787574725073,NA,NA,NA,NA,NA,50.1862839635997,NA,40.1170927423721,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.891,61.525,68.761,NA,NA,NA,NA,1.168,"Americas","South America"
"18","ARG","ARGENTINA",1967,-9,0,1063.93283833587,NA,NA,NA,NA,NA,9.98038631665412,NA,NA,NA,NA,NA,50.2254895695476,NA,42.6362011624409,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.992,61.524,68.99,NA,NA,NA,NA,1.4,"Americas","South America"
"19","ARG","ARGENTINA",1968,-9,0,1141.95211617341,NA,NA,NA,NA,NA,9.72127698537181,NA,NA,NA,NA,NA,50.2675267284834,NA,43.2426585257493,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.89,61.317,69.035,NA,NA,NA,NA,1.68571428571429,"Americas","South America"
