"","countrykey","country","year","polity5","democracy","gdppc","enrol_gross","primcomp","primcom_male","primcom_fem","enrol_net","agri","slums","telephone","internet","tax","pop","pop_fem","electricity","service","oil","natural","literacy","lit_male","lit_fem","infant","health_ex","hospital","tuberculosis","life","life_male","life_female","unemploy","urban","attend","prenatal","military","un_continent_name","un_region_name"
"1","BHR","BAHRAIN",1971,-10,0,1829.74070543315,97.5456695556641,NA,NA,NA,76.33968,NA,NA,NA,NA,NA,NA,43.6530535294041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.607,64.658,66.851,NA,NA,NA,NA,NA,"Asia","Western Asia"
"2","BHR","BAHRAIN",1972,-10,0,2205.917004377,96.5225677490234,NA,NA,NA,79.20479,NA,NA,NA,NA,NA,NA,42.9768041237113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.373,65.414,67.645,NA,NA,NA,NA,NA,"Asia","Western Asia"
"3","BHR","BAHRAIN",1973,-7,0,2981.09253134976,96.5068893432617,NA,NA,NA,80.26908,NA,NA,NA,NA,NA,NA,42.437558994364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.183,66.229,68.461,NA,NA,NA,NA,NA,"Asia","Western Asia"
"4","BHR","BAHRAIN",1974,-7,0,3873.71629107511,97.8309936523438,NA,NA,NA,81.86211,NA,NA,NA,NA,NA,NA,41.9680491231722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.864,66.935,69.109,NA,NA,NA,NA,NA,"Asia","Western Asia"
"5","BHR","BAHRAIN",1975,-10,0,3880.44047162927,102.7099609375,NA,NA,NA,85.28601,NA,NA,NA,NA,NA,NA,41.5616923924249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.466,67.484,69.799,NA,NA,NA,NA,1.52617985442592,"Asia","Western Asia"
"6","BHR","BAHRAIN",1976,-10,0,5310.19132615533,104.615417480469,NA,NA,NA,82.12487,NA,NA,NA,NA,NA,NA,41.2075350077049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.118,68.132,70.457,NA,NA,NA,NA,1.75228724031609,"Asia","Western Asia"
"7","BHR","BAHRAIN",1977,-10,0,6358.42084195442,106.381393432617,NA,NA,NA,82.11388,NA,NA,NA,NA,NA,NA,40.8950109167165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.604,68.718,70.777,NA,NA,NA,NA,2.07792207792208,"Asia","Western Asia"
"8","BHR","BAHRAIN",1978,-10,0,6925.98893207436,106.67066192627,NA,NA,NA,80.05571,NA,NA,NA,NA,NA,NA,40.6177792138907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.978,68.972,71.339,NA,NA,NA,NA,4.95813133539004,"Asia","Western Asia"
"9","BHR","BAHRAIN",1979,-10,0,7890.82982494874,107.168472290039,NA,NA,NA,80.69142,NA,NA,NA,NA,NA,NA,40.3682546337543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.456,69.554,71.637,NA,NA,NA,NA,5.89275191514437,"Asia","Western Asia"
"10","BHR","BAHRAIN",1980,-10,0,9732.72587186027,104.30980682373,NA,NA,NA,82.3983,NA,NA,NA,NA,NA,NA,40.1408999994429,NA,NA,68.1362125392305,71.3393304804284,NA,NA,NA,NA,NA,3.31439995765686,NA,70.826,69.821,72.173,NA,NA,NA,NA,5.69889130660035,"Asia","Western Asia"
"11","BHR","BAHRAIN",1981,-10,0,10556.5091718735,97.8788299560547,NA,NA,NA,81.99603,NA,NA,NA,NA,NA,NA,40.0164380334329,NA,NA,58.0699222662964,60.6677370225297,70,77,59,NA,NA,NA,NA,71.183,70.269,72.362,NA,NA,NA,NA,6.9025815655055,"Asia","Western Asia"
"12","BHR","BAHRAIN",1982,-10,0,10712.1529364009,94.4369888305664,NA,98.8304061889648,79.9831619262695,80.6088,NA,NA,NA,NA,NA,NA,40.0147810492478,NA,NA,33.7423368813276,34.7756748440513,NA,NA,NA,NA,NA,NA,NA,71.47,70.465,72.808,NA,NA,NA,NA,8.53516194922673,"Asia","Western Asia"
"13","BHR","BAHRAIN",1983,-10,0,10598.8427157127,93.0168380737305,NA,85.7390899658203,77.2501983642578,83.25855,NA,NA,NA,NA,NA,NA,40.051459046136,NA,NA,29.0419490949798,32.2435994918753,NA,NA,NA,NA,NA,NA,NA,71.668,70.684,72.976,NA,NA,NA,NA,4.79033601777284,"Asia","Western Asia"
"14","BHR","BAHRAIN",1984,-10,0,10696.9331055208,97.3100128173828,NA,82.1612777709961,78.8725509643555,86.6106,NA,NA,NA,NA,NA,NA,40.1031906232386,NA,NA,31.8871060471681,34.6847206034164,NA,NA,NA,NA,NA,NA,NA,72.012,71.154,73.115,NA,NA,NA,NA,4.17930569598921,"Asia","Western Asia"
