,countrykey,year,countryname,agriculture,elec,slums,tax,mobile,internet,agriculture_gdp,services_gdp,gdp,gdp_growth,gdppc,urban,oil,natural,literacy,prim_compl,enrl_gross,enrl_net,edu_expenses,mortality_child,mortality_neo,hospitalbeds,tub,health_gdp,inc_b10,unempl,lifeexp,life_pol,life_rel,qual_ind,qual_manners,qual_tol,qual_faith,qual_obd,trust,order_freedom,dem_order,traditional_rational,surv_self,wvs_wave,polity,un_region_name,un_continent_name,democracy,id
1,ALB,1998,Albania,41.569343,100,NA,13.701633,0.18042638,0.06502737,27.072216,50.115387,2.71E+09,9.0088525,865.30216,40.60100174,0.14185803,0.26542101,NA,NA,107.71253,NA,NA,NA,11.8,3.05,NA,NA,NA,23.033001,73.208,3.0987654,2.2602459,0.32032032,NA,0.81081081,0.2992993,0.58158158,1.73,1.0802846,2.7103004,0.72677007,0.3952518,3,5,Southern Europe,Europe,1,3
2,ALB,2002,Albania,41.605839,100,NA,16.160843,27.284132,0.39008127,21.600395,50.060003,4.44E+09,4.231371,1453.6428,43.50099945,0.65942414,0.73766489,NA,NA,101.898,NA,NA,NA,10.7,NA,22,6.4343317,3.5,21.488001,74.575,2.9560776,2.266055,0.572,NA,0.8,0.363,0.539,1.7563025,NA,2.9003322,0.6712418,0.51762411,4,7,Southern Europe,Europe,1,3
3,ARG,1984,Argentina,46.960745,NA,NA,NA,0,NA,8.3459768,51.945835,7.91E+10,2.2117735,2643.3694,84.6210022,3.070351,3.4903225,NA,NA,105.56242,NA,NA,NA,15.8,NA,NA,NA,NA,NA,70.438,NA,NA,0.41691542,NA,0.439801,0.18606965,0.18606965,1.7390351,NA,NA,0.8517321,0.64846194,1,8,South America,Americas,1,5
4,ARG,1991,Argentina,46.647593,91.123672,NA,5.0082365,0.075315,NA,6.7164918,60.561199,1.90E+11,12.66971,5715.5044,87.32800293,0.73995188,0.98989341,96.128197,NA,109.08685,96.254837,NA,NA,14.6,NA,NA,NA,1.7,5.5500002,71.79,2.9518072,2.0963855,0.43213573,NA,0.77644711,0.28143713,0.32035928,1.7669095,NA,NA,0.80581499,0.75412238,2,7,South America,Americas,1,5
5,ARG,1995,Argentina,46.788273,93.022461,31.7,8.0543577,1.1584431,0.08627708,5.3514732,60.821391,2.58E+11,-2.8452096,7373.4282,88.16400146,0.89003497,1.0614259,NA,NA,NA,NA,NA,NA,13.4,NA,NA,NA,1.1,18.799999,72.719,2.9607109,2.0598131,0.41056534,NA,0.73123262,0.35959222,0.31881372,1.8243115,1.5978153,2.8551308,0.83412705,0.8553467,3,7,South America,Americas,1,5
6,ARG,1999,Argentina,46.922377,94.725464,NA,9.0761243,10.502243,3.284482,4.4578394,61.924782,2.84E+11,-3.385457,7736.3696,88.95200348,0.92027688,1.1238282,NA,98.217644,116.05356,99.751923,NA,NA,11.3,NA,NA,NA,1.1,14.1,73.618,3.1343284,1.9033019,0.3703125,NA,0.7015625,0.4265625,0.36953125,1.8413462,NA,2.7163793,0.74101561,0.81821479,4,8,South America,Americas,1,5
7,ARG,2006,Argentina,51.560096,97.167221,NA,12.878887,79.654384,20.927202,6.9355723,48.749133,2.33E+11,8.0471515,5878.761,90.26599884,4.2268824,5.924138,NA,99.133202,118.83875,99.47065,97.513451,NA,8.7,NA,28,6.4156347,1.2,10.08,74.941,2.9345418,2.1609658,0.44411178,NA,0.70459082,0.24451098,0.42215569,1.8311292,NA,NA,0.70463452,0.86686406,5,8,South America,Americas,1,5
8,ARM,1997,Armenia,46.786091,98.769028,NA,NA,0.15958707,0.11165093,29.413242,29.539033,1.64E+09,3.3210797,523.28357,65.5039978,0,0.55148816,NA,93.8955,126.90023,NA,NA,NA,18,6.75,NA,NA,NA,10.8,69.912,2.526127,2.1797872,0.32,NA,0.4845,0.1235,0.1795,1.7531513,1.521875,2.4589716,0.82716101,0.46093495,3,-6,Western Asia,Asia,1,6
9,AUS,1981,Australia,62.838082,NA,NA,21.498307,0,NA,NA,NA,1.77E+11,3.3378583,11830.865,85.69999695,1.7776972,4.9394575,NA,NA,109.28179,99.807877,NA,NA,6.7,12.2,NA,NA,2.8,NA,74.663415,NA,NA,0.24511401,NA,0.67100977,0.2223127,0.41123779,1.5180824,NA,NA,NA,NA,1,10,Australia and New Zealand,Oceania,1,8
10,AUS,1995,Australia,60.313708,100,NA,21.214315,12.402677,2.7596545,3.0216331,62.32745,3.67E+11,3.8293688,20319.631,86.10600281,0.60306471,2.0194949,NA,NA,100.8312,94.564621,91.877251,NA,3.7,8.6999998,NA,NA,2.8,8.4700003,77.829268,2.4896654,2.4835219,0.52734375,NA,0.80908203,0.21386719,0.28710938,1.5995062,1.4783274,2.7467499,0.72156362,1.2761031,3,10,Australia and New Zealand,Oceania,1,8
11,AUS,2005,Australia,57.944756,100,NA,24.868671,91.012838,63,2.8865189,64.392111,6.93E+11,3.1903163,33961.682,88,0.89459294,5.2232381,NA,NA,102.53646,95.626938,NA,NA,3.3,4,5.9,7.9738587,NA,5.0300002,80.841463,2.4892241,2.7071429,0.63476425,NA,0.9148487,0.20830401,0.36664321,1.5181753,NA,NA,0.80104661,1.3406365,5,10,Australia and New Zealand,Oceania,1,8
12,AZE,1997,Azerbaijan,55.141377,97.81459,NA,10.693878,0.50468926,0.02518793,20.127411,35.486404,3.96E+09,5.8000005,505.56057,51.58800125,15.327537,18.576656,NA,99.470108,94.54734,90.126938,NA,NA,37.2,9.6099997,NA,NA,NA,11.847,65.899,2.7409457,1.9032421,0.5969031,NA,0.59140859,0.18581419,0.24825175,1.794723,1.104888,2.9791411,0.54163144,0.43522755,3,-6,Western Asia,Asia,0,10
13,BFA,2007,Burkina Faso,40.095029,13.169374,59.5,12.685696,13.037014,0.75,29.935493,45.813294,6.77E+09,5.6550051,475.11001,23.16300011,0,9.1711707,28.72921,34.97427,67.669098,54.953609,64.668404,NA,33.9,NA,62,5.8863782,NA,3.3,54.841,2.5394278,1.1985392,0.31160365,NA,0.69361147,0.68057366,0.70469361,1.8530839,NA,NA,0.40371028,0.54685367,5,0,Western Africa,Africa,0,14
14,BGD,1996,Bangladesh,71.652454,23.181799,NA,NA,0.00329843,NA,23.266208,50.124201,4.64E+10,4.5229192,382.93576,22.06399918,0.01800515,0.46375045,NA,NA,NA,NA,NA,NA,50.2,NA,NA,NA,NA,2.51,62.61,2.49833,1.195138,0.56983607,NA,0.69180328,0.77704918,0.19016393,1.7908847,1.111631,2.9704321,NA,NA,3,6,Southern Asia,Asia,1,15
15,BGD,2002,Bangladesh,71.852193,37.309124,NA,6.6913842,0.78696541,0.13992029,20.584134,51.572417,5.47E+10,3.8331239,400.61357,24.75600052,0.08089198,0.67392338,NA,NA,NA,NA,NA,NA,39.4,0.34,221,2.621789,NA,3.5580001,66.448,2.4147688,1.1385542,0.778,NA,0.70933333,0.70133333,0.192,1.7646662,NA,2.9860088,0.38290621,0.43145962,4,6,Southern Asia,Asia,1,15
16,BGR,1997,Bulgaria,56.069782,100,NA,14.942873,0.85243955,1.2198131,20.597385,49.001853,1.12E+10,-1.0888202,1346.9106,68.23100281,0.0053029,1.7143478,NA,94.486443,102.31142,95.011551,NA,NA,8.4,10.28,NA,NA,NA,13.7,70.35122,2.9942252,2.6748047,0.38432836,NA,0.4636194,0.1613806,0.20335821,1.713964,1.2913223,2.5341545,1.0200684,0.62693152,3,8,Eastern Europe,Europe,1,16
17,BGR,2005,Bulgaria,48.462813,100,NA,20.46719,81.274266,19.97,7.2884697,53.555336,2.96E+10,7.1235111,3869.5295,70.58399963,0.03809541,1.7447007,NA,98.642502,103.30338,95.739883,89.889542,NA,6,6.4,52,6.9442005,NA,10.08,72.560976,3.0662589,2.476828,0.45854146,NA,0.52947053,0.17682318,0.24275724,1.7802945,NA,NA,1.0224652,0.67670328,5,9,Eastern Europe,Europe,1,16
18,BIH,1998,Bosnia and Herzegovina,42.1875,98.507721,NA,NA,0.6714065,0.14367106,15.96041,38.709411,4.12E+09,15.599996,1097.6446,39.34799957,0,1.5019671,NA,NA,NA,NA,NA,NA,7.1,3.8199999,NA,NA,NA,23.264,73.572,2.5782828,1.9232704,0.3525,NA,0.625,0.25125,0.40875,1.7387863,1.54375,3.1920981,0.67076556,0.53946603,3,NA,Southern Europe,Europe,0,19
19,BIH,2001,Bosnia and Herzegovina,41.523438,99.4,NA,NA,11.792032,1.200527,8.8676604,54.469457,5.75E+09,4.3999995,1524.412,39.28499985,0,1.3714622,NA,NA,NA,NA,NA,NA,6.2,3.22,82,7.1772169,3.6,26.344999,74.653,2.8207705,2.0539174,0.56333333,NA,0.71666667,0.245,0.435,1.8421941,NA,2.9888889,0.84582005,0.52484074,4,NA,Southern Europe,Europe,0,19
20,BLR,1996,Belarus,46.011635,100,NA,18.799775,0.0647735,0.02929829,15.098598,39.364259,1.48E+10,2.8000047,1452.4455,68.30799866,0.87172416,3.2869706,NA,95.103149,98.271957,NA,NA,NA,7.9,12.27,NA,NA,NA,0.89600003,68.512195,2.7134446,2.3943662,0.29780115,NA,0.59655832,0.14961759,0.34942639,1.7592593,1.5587045,2.4373259,0.88680597,0.48674556,3,-7,Eastern Europe,Europe,0,20
21,BRA,1991,Brazil,29.305683,89.835625,NA,9.5297265,0.00440857,0.00328817,6.7888067,48.846332,6.03E+11,1.5119372,3966.7955,74.69000244,0.29353475,1.3987859,NA,NA,NA,NA,NA,NA,24.8,NA,NA,NA,NA,10.108,65.708,2.7342419,1.6304837,0.26487093,NA,0.65656566,0.46464646,0.41414141,1.9354473,NA,NA,0.65825955,0.5661064,2,8,South America,Americas,1,23
22,BRA,2006,Brazil,32.636926,97.594314,NA,15.381311,52.863524,28.17838,4.3700439,57.138127,1.11E+12,3.9572968,5860.1458,83.14299774,2.3217576,4.8902155,89.615227,NA,NA,NA,94.068161,NA,12.7,NA,46,8.2593123,1,8.3900003,72.405,2.4835239,1.5954606,0.28733333,NA,0.64733333,0.562,0.56333333,1.9079838,NA,NA,0.49999519,0.69870139,5,8,South America,Americas,1,23
23,CAN,2000,Canada,7.4353028,100,NA,14.907382,28.393625,51.3,NA,NA,7.42E+11,5.1826903,24124.169,79.47799683,1.5597474,4.5421495,NA,97.30352,100.25361,99.919533,96.398453,1.4,3.7,3.4,6.4,8.2757012,2.7,6.8299999,79.236585,2.6859074,2.1242204,0.61988607,NA,0.81563956,0.33195236,0.3112377,1.6303665,NA,2.7156016,0.73988254,1.298872,4,10,Northern America,Americas,1,29
